"","Country","Q1_2020_cases","Q2_2020_cases","Q3_2020_cases","Q1rate100kcases","Q2rate100kcases","Q3rate100kcases","Q1_2020_deaths","Q2_2020_deaths","Q3_2020_deaths","Q1rate100kdeaths","Q2rate100kdeaths","Q3rate100kdeaths","Population2018","Density2018","Urban2018"
"123","Niger",27,1075,1197,0.120305050833785,4.78992332023404,5.33352392029781,3,67,69,0.0133672278704206,0.298534755772726,0.307446241019674,22442948,17.7176505881424,16.425
"124","Nigeria",135,25694,58848,0.0689215975474939,13.1175668695208,30.0436901664809,2,590,1112,0.00102106070440732,0.301212907800158,0.567709751650468,195874740,215.064988965381,50.344
"125","North Macedonia",329,6334,17977,15.7948455993832,304.086784275055,863.051487355962,9,302,739,0.432077843144221,14.4986120699505,35.4783917870644,2082958,82.5915146708961,57.963
"126","Norway",4641,8879,14027,87.3696044892276,167.152492622248,264.066675753156,39,250,274,0.734198357052333,4.70639972469444,5.15821409826511,5311916,14.5482916341657,82.248
"127","Oman",192,40070,98585,3.97558082304048,829.6954353085,2041.31580958045,1,176,935,0.0207061501200025,3.64428242112044,19.3602503622023,4829483,15.6041453957997,84.539
"128","Pakistan",2118,213470,312806,0.998044294977599,100.591367161883,147.400492792617,27,4395,6484,0.0127229442702527,2.07101259510224,3.05539150549327,212215030,275.289318700706,36.666
"129","Panama",1181,33550,112595,28.2747404577539,803.23246600986,2695.67688555529,30,631,2372,0.718240655150396,15.10699511333,56.7888944672246,4176873,56.1860774818402,67.709
"130","Papua New Guinea",1,11,534,0.0116193734926768,0.127813108419445,6.2047454450894,0,0,7,0,0,0.0813356144487374,8606316,19.0043633794109,13.169
"131","Paraguay",65,2221,40758,0.934435545583132,31.9289437960021,585.934214875035,3,17,857,0.0431277944115291,0.244390834998665,12.3201732702268,6956071,17.5083589227284,61.585
"132","Peru",1065,285213,811768,3.32924279326784,891.589976334554,2537.62700826803,30,9677,32396,0.0937814871343053,30.2507816999558,101.271501906765,31989256,24.99160625,77.907
"133","Philippines",2084,37514,311694,1.95402010664187,35.174237178773,292.25352356988,88,1266,5504,0.0825114056547429,1.18703908589664,5.16071337186028,106651922,357.688305329175,46.907
"134","Poland",2311,34393,91514,6.08562268349364,90.5680748392024,240.986444940388,33,1463,2513,0.0868998479252661,3.8525599246868,6.61755508594527,37974750,124.023482151605,60.058
"135","Portugal",7443,42141,75542,72.3758151395464,409.77955472197,734.571251816688,160,1576,1971,1.55584178722658,15.3250416041818,19.1660260163974,10283822,112.2619412173,65.211
"136","Qatar",781,96088,125760,28.0765883314274,3454.31910318847,4521.01376256122,2,113,214,0.0718990738320804,4.06229767151254,7.69320090003261,2781677,239.593195521103,99.135
"137","Romania",2245,26970,127572,11.5290528279688,138.502697002369,655.137785019883,82,1651,4825,0.421105715765453,8.47860410644834,24.7784765679062,19472545,84.633801286509,53.998
"138","Russia",2337,646929,1170799,1.61754887565472,447.770336576137,810.36568509528,17,9306,20630,0.0117665087232051,6.44112530459684,14.2790044093953,144477860,8.82206795315588,74.433
"139","Rwanda",75,1025,4840,0.609659989372407,8.33201985475623,39.343391314166,0,2,29,0,0.0162575997165975,0.235735195890664,12301939,498.659870287799,17.211
